City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Bilibino,RU,68.0546,166.4372,31.32,96,100,2.19,overcast clouds
238,Bay Saint Louis,US,30.3088,-89.33,87.87,66,40,13.8,scattered clouds
239,Dikson,RU,73.5069,80.5464,19.24,96,100,7.45,light snow
240,Maniitsoq,GL,65.4167,-52.9,29.93,66,2,4.07,clear sky
241,Tabou,CI,4.423,-7.3528,80.96,84,47,6.67,scattered clouds
242,Rosarito,MX,32.3333,-117.0333,86.41,63,15,11.45,few clouds
243,Hailar,CN,49.2,119.7,38.26,32,89,12.33,overcast clouds
244,Lasa,IT,46.6166,10.7002,52.68,97,100,2.21,overcast clouds
245,Grand Baie,MU,-20.0182,57.5802,76.44,83,15,11.01,few clouds
246,Salalah,OM,17.0151,54.0924,84.29,84,75,5.75,broken clouds
247,Letlhakane,BW,-21.4167,25.5833,66.02,38,1,6.29,clear sky
248,Labuan,MY,5.2767,115.2417,79.16,94,20,0.0,few clouds
249,Saskylakh,RU,71.9167,114.0833,19.96,93,100,9.37,overcast clouds
250,Chabahar,IR,25.2919,60.643,80.56,73,0,2.01,clear sky
251,Christchurch,NZ,-43.5333,172.6333,48.94,91,5,3.44,clear sky
252,Kandi,BJ,11.1342,2.9386,86.76,48,70,1.25,light rain
253,Westport,US,41.1415,-73.3579,73.44,45,0,14.97,clear sky
254,Charagua,BO,-19.8,-63.2167,76.57,23,0,7.07,clear sky
255,Hanyang,CN,32.1371,105.5126,62.8,71,37,2.91,scattered clouds
256,Katsuura,JP,35.1333,140.3,63.45,79,100,8.01,overcast clouds
257,Narsaq,GL,60.9167,-46.05,41.22,82,100,2.01,light rain
258,Kodiak,US,57.79,-152.4072,45.91,76,100,17.27,overcast clouds
259,Oranjemund,NA,-28.55,16.4333,60.19,76,0,4.25,clear sky
260,Ribeira Grande,PT,38.5167,-28.7,64.8,88,75,12.66,broken clouds
261,Xuddur,SO,4.1213,43.8894,75.96,76,20,11.97,few clouds
262,Yaring,TH,6.8662,101.3689,79.43,88,84,6.76,broken clouds
263,Meulaboh,ID,4.1363,96.1285,75.87,94,100,1.3,light rain
264,Pangnirtung,CA,66.1451,-65.7125,14.0,79,0,2.3,clear sky
265,Kyren,RU,51.6828,102.1408,35.06,62,100,1.12,overcast clouds
266,Buraydah,SA,26.326,43.975,88.25,19,2,10.8,clear sky
267,Kinablangan,PH,7.6947,126.5503,77.63,85,96,4.16,overcast clouds
268,Kahului,US,20.8947,-156.47,79.97,75,40,19.57,scattered clouds
269,Yangambi,CD,0.8102,24.4336,72.25,92,96,1.43,light rain
270,Tucupita,VE,9.0622,-62.051,87.8,56,100,6.35,overcast clouds
271,Korla,CN,41.7597,86.1469,76.98,24,100,13.76,overcast clouds
272,Honiara,SB,-9.4333,159.95,77.68,87,32,4.63,scattered clouds
273,Kem,RU,64.9555,34.5793,34.88,82,100,7.74,overcast clouds
274,Vestnes,NO,62.6264,7.0884,48.92,71,75,3.44,broken clouds
275,Severo-Kurilsk,RU,50.6789,156.125,34.25,86,34,8.21,scattered clouds
276,Calatayud,ES,41.3535,-1.6432,54.61,68,0,5.44,clear sky
277,Bethanien,NA,-26.502,17.1583,66.96,28,0,6.51,clear sky
278,Mackay,AU,-21.15,149.2,68.68,94,75,4.61,broken clouds
279,Hofn,IS,64.2539,-15.2082,40.84,91,100,15.61,overcast clouds
280,Olafsvik,IS,64.8945,-23.7142,36.61,89,78,14.58,broken clouds
281,Korop,UA,51.5664,32.9586,41.49,68,46,5.32,scattered clouds
282,Kununurra,AU,-15.7667,128.7333,78.78,31,75,9.22,broken clouds
283,Manicore,BR,-5.8092,-61.3003,80.89,92,80,2.13,broken clouds
284,Itarema,BR,-2.9248,-39.9167,78.87,87,48,11.1,scattered clouds
